,color,rgb
812,greenish yellow,#cdfd02
813,medium blue,#2c6fbb
814,dusty rose,#c0737a
815,light violet,#d6b4fc
816,midnight blue,#020035
817,bluish purple,#703be7
818,red orange,#fd3c06
819,dark magenta,#960056
820,greenish,#40a368
821,ocean blue,#03719c
822,coral,#fc5a50
823,cream,#ffffc2
824,reddish brown,#7f2b0a
825,burnt sienna,#b04e0f
826,brick,#a03623
827,sage,#87ae73
828,grey green,#789b73
829,white,#ffffff
830,robin's egg blue,#98eff9
831,moss green,#658b38
832,steel blue,#5a7d9a
833,eggplant,#380835
834,light yellow,#fffe7a
835,leaf green,#5ca904
836,light grey,#d8dcd6
837,puke,#a5a502
838,pinkish purple,#d648d7
839,sea blue,#047495
840,pale purple,#b790d4
841,slate blue,#5b7c99
842,blue grey,#607c8e
843,hunter green,#0b4008
844,fuchsia,#ed0dd9
845,crimson,#8c000f
846,pale yellow,#ffff84
847,mustard yellow,#d2bd0a
848,light red,#ff474c
849,cerulean,#0485d1
850,pale pink,#ffcfdc
851,deep blue,#040273
852,rust,#a83c09
853,light teal,#90e4c1
854,slate,#516572
855,goldenrod,#fac205
856,dark yellow,#d5b60a
857,dark grey,#363737
858,army green,#4b5d16
859,grey blue,#6b8ba4
860,seafoam,#80f9ad
861,puce,#a57e52
862,spring green,#a9f971
863,dark orange,#c65102
864,sand,#e2ca76
865,pastel green,#b0ff9d
866,mint,#9ffeb0
867,light orange,#fdaa48
868,bright pink,#fe01b1
869,chartreuse,#c1f80a
870,deep purple,#36013f
871,dark brown,#341c02
872,taupe,#b9a281
873,pea green,#8eab12
874,puke green,#9aae07
875,kelly green,#02ab2e
876,seafoam green,#7af9ab
877,blue green,#137e6d
878,khaki,#aaa662
879,burgundy,#610023
880,dark teal,#014d4e
881,brick red,#8f1402
882,royal purple,#4b006e
883,plum,#580f41
884,mint green,#8fff9f
885,gold,#dbb40c
886,baby blue,#a2cffe
887,yellow green,#c0fb2d
888,bright purple,#be03fd
889,dark red,#840000
890,pale blue,#d0fefe
891,grass green,#3f9b0b
892,navy,#01153e
893,aquamarine,#04d8b2
894,burnt orange,#c04e01
895,neon green,#0cff0c
896,bright blue,#0165fc
897,rose,#cf6275
898,light pink,#ffd1df
899,mustard,#ceb301
900,indigo,#380282
901,lime,#aaff32
902,sea green,#53fca1
903,periwinkle,#8e82fe
904,dark pink,#cb416b
905,olive green,#677a04
906,peach,#ffb07c
907,pale green,#c7fdb5
908,light brown,#ad8150
909,hot pink,#ff028d
910,black,#000000
911,lilac,#cea2fd
912,navy blue,#001146
913,royal blue,#0504aa
914,beige,#e6daa6
915,salmon,#ff796c
916,olive,#6e750e
917,maroon,#650021
918,bright green,#01ff07
919,dark purple,#35063e
920,mauve,#ae7181
921,forest green,#06470c
922,aqua,#13eac9
923,cyan,#00ffff
924,tan,#d1b26f
925,dark blue,#00035b
926,lavender,#c79fef
927,turquoise,#06c2ac
928,dark green,#033500
929,violet,#9a0eea
930,light purple,#bf77f6
931,lime green,#89fe05
932,grey,#929591
933,sky blue,#75bbfd
934,yellow,#ffff14
935,magenta,#c20078
936,light green,#96f97b
937,orange,#f97306
938,teal,#029386
939,light blue,#95d0fc
940,red,#e50000
941,brown,#653700
942,pink,#ff81c0
943,blue,#0343df
944,green,#15b01a
945,purple,#7e1e9c
946,blank,white
947,blanch,white
948,paper white,white
949,candid,white
950,whitish,white
951,whitelike,white
952,albid,white
953,incandent,white
954,all white,white
955,dead white,ghostwhite
956,snow white,snow
957,snowish,snow
958,snowy,snow
959,nixious,snow
960,snow like,snow
961,snow,snow
962,milk white,white
963,milkish,white
964,milky,white
965,milk,white
966,milken,white
967,lacteal,white
968,lacteous,white
969,lactaceous,white
970,lactean,white
971,lactescent,white
972,bone,ivory
973,ivory white,ivory
974,eburnean,ivory
975,eburnine,ivory
976,bone white,ivory
977,ivorine,ivory
978,ivoried,ivory
979,bone coloured,ivory
980,lily white,floralwhite
981,lily,floralwhite
982,lily whited,floralwhite
983,lily wristed,floralwhite
984,lily like,floralwhite
985,lily coloured,floralwhite
986,chalk white,white
987,chalky,white
988,chalkish,white
989,ermine,white
990,ermined,white
991,marble,white
992,alabaster,white
993,alabastrine,white
994,marmorean,white
995,marbly,white
